chunk_id,document_filename,document_date,document_language,section_number,detected_script,chunk_words,compliance_flags
Универсальныи_договор_узб_25.09.2025__chunk_156,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,29,[]
Универсальныи_договор_узб_25.09.2025__chunk_157,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,16,[]
Универсальныи_договор_узб_25.09.2025__chunk_158,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,19,[]
Универсальныи_договор_узб_25.09.2025__chunk_159,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,37,[]
Универсальныи_договор_узб_25.09.2025__chunk_160,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,11,[]
Универсальныи_договор_узб_25.09.2025__chunk_161,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,11,[]
Универсальныи_договор_узб_25.09.2025__chunk_162,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,39,[]
Универсальныи_договор_узб_25.09.2025__chunk_163,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,26,[]
Универсальныи_договор_узб_25.09.2025__chunk_164,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,15,[]
Универсальныи_договор_узб_25.09.2025__chunk_165,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,44,[]
Универсальныи_договор_узб_25.09.2025__chunk_166,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,20,[]
Универсальныи_договор_узб_25.09.2025__chunk_167,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,36,[]
